FRANCAIS,PIN YIN HAKKA,SINOGRAMME correspondant 
(il) grandit de jour en jour,yit5 ngit5 tai4 yit5 ngit5,一日大一日
4 fers en l'air,xi4 giok5 ngia4 tian1-hi1,四脚惹天
amateur (#pro), ban4tung3shui3,半桶水
au milieu de nuit,sam1 gong1 ban4 ya4,三光半夜
chc veut donner un coup de main (cahotiquement),qit5 shu3 bat5 giok5,七手八脚
croix,ship6 su4 ga4,十字架
Du balai,sao4ba3,
huit fois huit (font) soixante quatre,bat5 bat5 luk5 ship6 xi4,八八六十四
l'échapper belle,giu3 xi3 yit5 sang1?,九死一生
pistolet à six coups,luk5 ham2 pao4?,六含炮
"se masturber (argotique, mandarin)",ng3 da3 yit5?,五打一
"timoré, inconstant",sam1 xim1 ngi4 yi4?,三心二意
